Product_Code,Avg_Qty,LSTM_RMSE,Stat_RMSE,Improvement_%
PO1006,186.03,265.71,304.16,12.64
PO1100,238.5,226.32,253.8,10.83
PO1249,1346.45,1379.56,1542.85,10.58
PO1309,1806.89,1748.24,1953.29,10.5
PO1099,236.16,223.41,247.89,9.88
PO1248,1714.21,1661.06,1842.97,9.87
PO1190,939.21,831.1,920.47,9.71
PO1179,413.26,389.55,430.85,9.59
PO1098,547.75,641.73,709.67,9.57
PO1106,2860.66,2765.96,3056.13,9.49
PO1004,268.93,325.49,359.57,9.48
PO1117,305.46,315.89,348.59,9.38
PO1005,220.46,287.68,317.26,9.32
PO0890,2775.0,2739.33,3019.44,9.28
PO1378,818.9,654.97,720.28,9.07
PO1308,3560.33,3241.06,3561.9,9.01
PO1124,1344.9,1343.1,1475.22,8.96
PO1192,306.6,264.76,290.78,8.95
PO1096,658.15,780.05,856.14,8.89
PO1097,584.7,743.05,815.56,8.89
PO1123,2417.82,2396.85,2622.12,8.59
PO1009,172.97,160.87,175.61,8.39
PO1126,466.65,440.38,480.56,8.36
PO1357,391.96,416.85,454.85,8.35
PO1061,168.39,166.23,181.17,8.25
PO1222,356.03,356.24,388.23,8.24
PO1289,198.64,178.14,193.96,8.15
PO1182,159.1,154.11,167.69,8.1
PO1118,281.92,272.31,295.67,7.9
PO1197,130.84,127.96,138.86,7.85
PO1003,261.4,368.89,400.13,7.81
PO1187,310.12,269.69,292.46,7.79
PO1196,177.43,175.37,190.06,7.73
PO1243,265.88,231.31,249.62,7.34
PO1223,142.97,142.32,153.01,6.99
PO1127,129.17,123.91,133.18,6.96
PO1281,174.44,156.91,168.44,6.85
PO1282,109.63,110.16,118.25,6.84
PO1361,597.89,571.16,612.46,6.74
PO1200,290.25,330.85,353.94,6.52
PO1237,124.56,151.91,161.72,6.07
PO1002,265.42,351.59,371.7,5.41
PO1191,406.75,510.26,539.14,5.36
PO1280,149.85,150.87,159.3,5.29
PO1194,430.13,524.03,552.85,5.21
PO1193,133.2,150.93,158.69,4.89
PO1031,487.22,556.22,584.33,4.81
PO1186,544.84,617.86,649.0,4.8
PO1095,461.89,576.05,604.67,4.73
PO1001,233.66,319.8,334.77,4.47
PO1181,160.66,169.17,174.99,3.33
PO1188,162.92,169.67,174.61,2.83
PO0889,3620.0,3167.74,2607.15,-21.5
