Product_Code,LSTM_RMSE,Multi_RMSE,Selected_Model,Hybrid_RMSE
PO1006,265.71,263.86,Multivariate Bi-LSTM,263.86
PO1100,226.32,225.62,Multivariate Bi-LSTM,225.62
PO1249,1379.56,1394.58,Univariate Bi-LSTM,1379.56
PO1309,1748.24,1770.31,Univariate Bi-LSTM,1748.24
PO1099,223.41,222.54,Multivariate Bi-LSTM,222.54
PO1248,1661.06,1680.93,Univariate Bi-LSTM,1661.06
PO1190,831.1,845.47,Univariate Bi-LSTM,831.1
PO1179,389.55,381.07,Multivariate Bi-LSTM,381.07
PO1098,641.73,640.56,Multivariate Bi-LSTM,640.56
PO1106,2765.96,2816.39,Univariate Bi-LSTM,2765.96
PO1004,325.49,320.1,Multivariate Bi-LSTM,320.1
PO1117,315.89,310.83,Multivariate Bi-LSTM,310.83
PO1005,287.68,283.52,Multivariate Bi-LSTM,283.52
PO0890,2739.33,2914.45,Univariate Bi-LSTM,2739.33
PO1378,654.97,672.6,Univariate Bi-LSTM,654.97
PO1308,3241.06,3293.62,Univariate Bi-LSTM,3241.06
PO1124,1343.1,1365.14,Univariate Bi-LSTM,1343.1
PO1192,264.76,261.41,Multivariate Bi-LSTM,261.41
PO1096,780.05,780.36,Univariate Bi-LSTM,780.05
PO1097,743.05,739.45,Multivariate Bi-LSTM,739.45
PO1123,2396.85,2423.64,Univariate Bi-LSTM,2396.85
PO1009,160.87,164.16,Univariate Bi-LSTM,160.87
PO1126,440.38,437.83,Multivariate Bi-LSTM,437.83
PO1357,416.85,407.32,Multivariate Bi-LSTM,407.32
PO1061,166.23,169.86,Univariate Bi-LSTM,166.23
PO1222,356.24,351.47,Multivariate Bi-LSTM,351.47
PO1289,178.14,179.16,Univariate Bi-LSTM,178.14
PO1182,154.11,158.59,Univariate Bi-LSTM,154.11
PO1118,272.31,268.22,Multivariate Bi-LSTM,268.22
PO1197,127.96,137.2,Univariate Bi-LSTM,127.96
PO1003,368.89,362.55,Multivariate Bi-LSTM,362.55
PO1187,269.69,266.51,Multivariate Bi-LSTM,266.51
PO1196,175.37,177.42,Univariate Bi-LSTM,175.37
PO1243,231.31,228.1,Multivariate Bi-LSTM,228.1
PO1223,142.32,148.71,Univariate Bi-LSTM,142.32
PO1127,123.91,133.78,Univariate Bi-LSTM,123.91
PO1281,156.91,159.49,Univariate Bi-LSTM,156.91
PO1282,110.16,123.88,Univariate Bi-LSTM,110.16
PO1361,571.16,566.0,Multivariate Bi-LSTM,566.0
PO1200,330.85,326.02,Multivariate Bi-LSTM,326.02
PO1237,151.91,150.74,Multivariate Bi-LSTM,150.74
PO1002,351.59,344.62,Multivariate Bi-LSTM,344.62
PO1191,510.26,497.62,Multivariate Bi-LSTM,497.62
PO1280,150.87,156.41,Univariate Bi-LSTM,150.87
PO1194,524.03,516.79,Multivariate Bi-LSTM,516.79
PO1193,150.93,150.45,Multivariate Bi-LSTM,150.45
PO1031,556.22,550.13,Multivariate Bi-LSTM,550.13
PO1186,617.86,613.83,Multivariate Bi-LSTM,613.83
PO1095,576.05,569.59,Multivariate Bi-LSTM,569.59
PO1001,319.8,314.01,Multivariate Bi-LSTM,314.01
PO1181,169.17,163.46,Multivariate Bi-LSTM,163.46
PO1188,169.67,163.25,Multivariate Bi-LSTM,163.25
PO0889,3167.74,3873.06,Univariate Bi-LSTM,3167.74
