year,date,aspi_monthly_percentage_change
2019,1/2/2019,-0.0104
2019,2/1/2019,-0.0319
2019,3/1/2019,-0.0416
2019,4/1/2019,-0.0277
2019,5/2/2019,-0.0222
2019,6/3/2019,0.0164
2019,7/1/2019,0.0997
2019,8/1/2019,-0.003
2019,9/2/2019,-0.0161
2019,10/1/2019,0.0357
2019,11/1/2019,0.03
2019,12/2/2019,-0.0083
2020,1/1/2020,-0.0356
2020,2/1/2020,-0.0961
2020,3/1/2020,-0.1444
2020,4/1/2020,0.0001
2020,5/1/2020,0.053
2020,6/1/2020,0.0695
2020,7/1/2020,-0.0054
2020,8/1/2020,0.0431
2020,9/1/2020,0.1202
2020,10/1/2020,-0.0425
2020,11/1/2020,0.0894
2020,12/1/2020,0.0851
2021,1/4/2021,0.2216
2021,2/1/2021,-0.1017
2021,3/1/2021,-0.042
2021,4/1/2021,0.0128
2021,5/3/2021,0.032
2021,6/1/2021,0.053
2021,7/1/2021,0.0348
2021,8/2/2021,0.0997
2021,9/1/2021,0.0606
2021,10/1/2021,0.0641
2021,11/1/2021,0.0564
2021,12/1/2021,0.1499
2022,1/3/2022,0.0591
2022,2/1/2022,-0.1163
2022,3/1/2022,-0.2219
2022,4/25/2022,-0.1296
2022,5/2/2022,0.0533
2022,6/1/2022,-0.1005
2022,7/1/2022,0.053
2022,8/1/2022,0.1682
2022,8/1/2022,0.0996
2022,9/3/2022,-0.1306
2022,11/1/2022,-0.0468
2022,12/1/2022,0.0315
2023,1/2/2023,0.0487
2023,2/1/2023,0.0319
2023,3/1/2023,0.0124
2023,4/3/2023,-0.0355
2023,5/2/2023,-0.0436
2023,6/1/2023,0.1009
2023,7/3/2023,0.2056
2023,8/1/2023,-0.0251
2023,9/1/2023,0.0211
2023,10/2/2023,-0.0655
2023,11/1/2023,-0.002
2023,12/1/2023,0.0077
2024,1/2/2024,-0.0325
2024,2/1/2024,0.0335
2024,3/1/2024,0.0742
2024,4/1/2024,0.0801
2024,5/2/2024,-0.0116
2024,6/3/2024,0.003
2024,7/1/2024,-0.0514
2024,8/1/2024,-0.0613
2024,9/2/2024,0.0178
2024,10/1/2024,0.1398
2024,11/1/2024,0.0299
2024,12/2/2024,0.223
2025,1/2/2025,0.0557
2025,2/3/2025,0.0227
2025,3/3/2025,0.0137
2025,1/1/2025,0.0252
2025,5/2/2025,0.005
2025,6/2/2025,0.0026
2025,7/1/2025,0.0512
2025,8/1/2025,0.0459
2025,9/1/2025,0.0988
2025,10/1/2025,0.0471
2025,11/3/2025,-0.004
