date,lp_92,lad,lsd,lk,lik
2025-11-01,294,277,318,180,193
2025-10-01,299,277,313,180,193
2025-09-01,299,283,313,185,193
2025-07-05,305,289,325,185,193
2025-07-01,305,289,325,185,186
2025-05-05,293,274,325,178,186
2025-04-30,293,274,325,178,191
2025-04-01,299,286,331,183,191
2025-02-01,309,286,331,183,191
2025-01-05,309,286,331,183,191
2025-01-02,309,286,331,183,196
2025-01-01,309,286,313,183,196
2024-12-05,309,286,313,188,196
2024-12-01,309,286,313,188,191
2024-11-01,311,283,313,183,191
2024-10-05,311,283,319,183,191
2024-10-01,311,283,319,183,210
2024-09-05,332,307,352,202,210
2024-09-01,332,307,352,202,219
2024-08-15,344,317,355,202,219
2024-07-15,344,317,355,202,219
2024-07-05,344,317,355,202,219
2024-07-01,344,317,355,202,210
2024-06-05,355,317,377,202,210
2024-06-05,368,333,377,215,223
2024-06-01,355,317,377,202,223
2024-05-01,368,333,377,215,250
2024-04-06,371,363,386,245,250
2024-04-01,371,363,386,245,260
2024-03-05,371,363,458,257,260
2024-02-01,371,363,468,262,266
2024-01-01,366,358,475,236,251
2023-12-01,346,329,434,247,288
2023-11-01,356,356,431,249,288
2023-10-02,365,351,421,242,300
2023-09-01,361,341,359,231,238
2023-08-01,348,306,358,226,231
2023-07-01,328,308,346,236,270
2023-06-01,318,310,340,245,270
2023-05-01,333,310,330,295,330
2023-03-30,340,325,465,295,330
2023-03-02,400,405,510,305,330
2023-02-01,400,405,510,355,464
2023-01-03,370,405,510,355,464
2022-12-11,370,430,510,365,464
2022-12-06,370,420,510,365,464
2022-10-17,370,415,510,340,464
2022-10-02,410,430,510,340,464
2022-08-21,450,430,510,340,464
2022-08-01,450,430,510,87,464
2022-07-17,450,440,510,87,464
2022-06-26,470,460,520,87,464
2022-05-24,420,400,445,87,399
2022-04-22,338,289,329,87,305
2022-04-18,338,289,329,87,160
2022-03-22,254,176,254,87,160
2022-03-11,254,176,254,87,110
2021-12-27,177,121,159,87,110
2021-12-20,177,121,159,87,110
2021-06-11,157,111,144,77,110
2019-09-10,137,104,132,70,110
2019-08-13,138,104,134,70,110
2019-07-11,136,104,131,70,110
2019-06-11,138,104,136,70,110
2019-05-11,135,104,136,70,110
2019-03-13,132,104,134,70,110
2019-02-12,129,103,129,70,110
2019-01-11,123,99,118,70,110
