date,wui_for_sl
1/1/2010,0
4/1/2010,0
7/1/2010,0
10/1/2010,0.109541
1/1/2011,0.1084716
4/1/2011,0.1090156
7/1/2011,0.1077238
10/1/2011,0.1081315
1/1/2012,0.1101807
4/1/2012,0.1066325
7/1/2012,0.212766
10/1/2012,0.2037075
1/1/2013,0.0864379
4/1/2013,0.1156069
7/1/2013,0.0952835
10/1/2013,0
1/1/2014,0.0898796
4/1/2014,0
7/1/2014,0.0903669
10/1/2014,0.0852224
1/1/2015,0.2933985
4/1/2015,0.0755915
7/1/2015,0
10/1/2015,0
1/1/2016,0.1772107
4/1/2016,0.3591631
7/1/2016,0.3250623
10/1/2016,0.3113648
1/1/2017,0.2144772
4/1/2017,0.0850774
7/1/2017,0.1187225
10/1/2017,0
1/1/2018,0.2524402
4/1/2018,0.101626
7/1/2018,0.0885975
10/1/2018,0.2044154
1/1/2019,0.0898311
4/1/2019,0.1087903
7/1/2019,0
10/1/2019,0.2432794
1/1/2020,0
4/1/2020,0.0794534
7/1/2020,0.066379
10/1/2020,0.0968898
1/1/2021,0
4/1/2021,0
7/1/2021,0.1246339
10/1/2021,0.3255844
1/1/2022,0.2572016
4/1/2022,0.2071251
7/1/2022,0.1719173
10/1/2022,0.0969603
1/1/2023,0.2302733
4/1/2023,0.2062423
7/1/2023,0.4689803
10/1/2023,0.3916577
1/1/2024,0.2931978
4/1/2024,0.1935359
7/1/2024,0.2019386
10/1/2024,0.0982898
1/1/2025,0.4077195
4/1/2025,0.4874086
7/1/2025,0.6932409
